record_id,company_name,uscc_or_entity_id,source_type,source_platform,source_url,source_title,published_at,captured_at,city,job_title,evidence_quote,evidence_summary,screenshot_path,collector,verification_status,risk_level,boycott_recommended,notes
job-20260406-012,中国人寿大厦,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/03a7a0175fefcde603V62Nq0EldZ.html,hr助理招聘 - BOSS直聘,,2026-04-06,杭州,hr助理,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-013,中国人寿临平支公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/d94b727babf7a6bf1HN429-8FFdY.html,人事专员+周末双休（不加班）招聘 - BOSS直聘,,2026-04-06,杭州,人事专员+周末双休（不加班）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-014,中国人寿,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/4c1b1e43dbf4efdf1XN539q0ElFQ.html,行政招聘 周末双休，待遇好招聘 - BOSS直聘,,2026-04-06,杭州,行政招聘 周末双休，待遇好,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-015,中国人寿保险,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/06163030b53dfa211HN639u_EFJV.html,文员双休 朝九晚五招聘 - BOSS直聘,,2026-04-06,杭州,文员双休 朝九晚五,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-019,星船时代,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/d94949b16ea81d6403F-2d-5FFpS.html,团播主播（提供住宿）接受小白招聘 - BOSS直聘,,2026-04-06,杭州,团播主播（提供住宿）接受小白,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-020,杭州北极未来科技,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/0c74ad01804a88e703x43dy-EVFR.html,DB黛比系团播主播纳新（无责保底可小白）招聘 - BOSS直聘,,2026-04-06,杭州,DB黛比系团播主播纳新（无责保底可小白）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-021,福州亿游星动文化传媒,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/89b3efb01851c7e41H1_0921FVVY.html,游戏主播招聘 - BOSS直聘,,2026-04-06,杭州,游戏主播,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-023,杭州苏江传媒有限公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/bb50abce6802fff803d529-0E1ZW.html,苏江传媒 娱乐主播-造星计划 小白/包住宿招聘 - BOSS直聘,,2026-04-06,杭州,苏江传媒 娱乐主播-造星计划 小白/包住宿,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-024,浙江无忧娱乐有限公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/6197eaf05c77ae3103J_09y5E1pQ.html,个人IP孵化，打造你的个人账号招聘 - BOSS直聘,,2026-04-06,杭州,个人IP孵化，打造你的个人账号,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-025,汉固达网络,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/288f144fa4e58d6803Z93Nq-FFdX.html,主播招聘 - BOSS直聘,,2026-04-06,杭州,主播,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-026,天赫传媒,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/9a4403d0d7b3479d03B_3d24E1NS.html,抖音团播招聘 - BOSS直聘,,2026-04-06,杭州,抖音团播,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-027,心宝,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/ed2d6bc80d5716d003Jy3N-4F1tS.html,男装模特招聘 - BOSS直聘,,2026-04-06,杭州,男装模特,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-028,捷运外卖,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/87c2646fdb30bca403Z62Ni7FVZQ.html,9元/单站点直招饿了么骑手招聘 - BOSS直聘,,2026-04-06,杭州,9元/单站点直招饿了么骑手,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-029,众禾,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/97ec5f3e120d4ba703J63Ny6FVZZ.html,（只负责一个店）会骑车的来招聘 - BOSS直聘,,2026-04-06,杭州,（只负责一个店）会骑车的来,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-030,鹏远配送,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/f41f922820ce56d903N_096_ElpQ.html,小象超市 五百一天🟢日结 新人奖励1800招聘 - BOSS直聘,,2026-04-06,杭州,小象超市 五百一天🟢日结 新人奖励1800,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-031,盒马鲜生,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/fa26932ae91639961HFy3d28FVRY.html,盒马鲜生招聘配送员招聘 - BOSS直聘,,2026-04-06,杭州,盒马鲜生招聘配送员,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-032,屹秦信息,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/d277330744180fac03J83dW8FFVW.html,【急】一口价固定9块/可日结/送餐员0元入职招聘 - BOSS直聘,,2026-04-06,杭州,【急】一口价固定9块/可日结/送餐员0元入职,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-034,歪马送酒,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/9755d835fce6609903N92N-4F1VV.html,歪马门店配送员就近安排-无超时要求招聘 - BOSS直聘,,2026-04-06,杭州,歪马门店配送员就近安排-无超时要求,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-035,宁波橙诺,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/7240fc643f84c09b03J93Nq4FltT.html,【官方美团站点直招】管吃管住9块一单日结招聘 - BOSS直聘,,2026-04-06,杭州,【官方美团站点直招】管吃管住9块一单日结,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-036,上海悦行合肥分公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/dcd5f3c2237e8f2803J_2NS5FFdQ.html,C1驾驶员月入过万招聘 - BOSS直聘,,2026-04-06,杭州,C1驾驶员月入过万,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-037,京东世纪贸易有限公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/c42a3db94e80143e03N609u8FVVS.html,擦擦桌子/拖拖地/会做家务就行招聘 - BOSS直聘,,2026-04-06,杭州,擦擦桌子/拖拖地/会做家务就行,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-038,杭州超妍生物科技,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/40deea9135f1e75a03V529y6GFZU.html,年薪15万+诚聘美容美体师（生日当天带薪休假）招聘 - BOSS直聘,,2026-04-06,杭州,年薪15万+诚聘美容美体师（生日当天带薪休假）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-039,京东集团,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/7569f565b418296c03Fy3NS0GFRT.html,会做家务就行月薪8000+免费培训+在家接单招聘 - BOSS直聘,,2026-04-06,杭州,会做家务就行月薪8000+免费培训+在家接单,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-040,芳朵,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/cc165524329653eb1Hd-2dy9F1RR.html,杭州拱墅高薪美容师招聘 - BOSS直聘,,2026-04-06,杭州,杭州拱墅高薪美容师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-041,爱情故事,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/128e79d2dced60190HF40ty6EFY~.html,美容美体师招聘 - BOSS直聘,,2026-04-06,杭州,美容美体师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-042,沙坪坝区京美达电...,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/f39440120f519bf903Ny0tq-FFBZ.html,急招家庭保洁。居家接单，日均300一天招聘 - BOSS直聘,,2026-04-06,杭州,急招家庭保洁。居家接单，日均300一天,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-043,爱情故事SPA,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/0a969a28fae9be860XR53Nu1EVM~.html,美容师招聘 - BOSS直聘,,2026-04-06,杭州,美容师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-044,新星女子形象策划,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/b02ac3084cca1a591XJy2Nu5EVRQ.html,美容师（包吃住）招聘 - BOSS直聘,,2026-04-06,杭州,美容师（包吃住）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-045,帝伯乐家政,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/b1c81513538c35e303x72dm1E1dT.html,直招保洁师+早8晚4白班+就近安排+免费培训招聘 - BOSS直聘,,2026-04-06,杭州,直招保洁师+早8晚4白班+就近安排+免费培训,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-047,转塘国寿,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/9563ed59e53662501X192d21E1BS.html,售后顾问 （周末双休）招聘 - BOSS直聘,,2026-04-06,杭州,售后顾问 （周末双休）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-048,中国人寿保险股份公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/b639f8c673a4434703J_2t68GFBQ.html,双休不加班政府项目售后招聘 - BOSS直聘,,2026-04-06,杭州,双休不加班政府项目售后,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-049,中檬(杭州),,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/a7f995f1664b4b3e1H1729i8FVJT.html,电商运营招聘 - BOSS直聘,,2026-04-06,杭州,电商运营,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-050,隆成义文化有限公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/03185d0efdbc9dbd03N_3t2_FVdW.html,客服专员招聘 - BOSS直聘,,2026-04-06,杭州,客服专员,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-051,杭州理物贸易有限公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/90ed3b605987f1b603V83NS6EVNY.html,女装私域客服招聘 - BOSS直聘,,2026-04-06,杭州,女装私域客服,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-052,中国人寿衙前分公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/7cfed650cb8a696203Bz3d25GVpV.html,售后+商业五险+固定双休招聘 - BOSS直聘,,2026-04-06,杭州,售后+商业五险+固定双休,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-054,肯德基,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/285a125c5b890ccc1H192dm7GVVW.html,肯德基储备干部-WK招聘 - BOSS直聘,,2026-04-06,杭州,肯德基储备干部-WK,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-056,中电金信,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/da9c2d01e05ac06e03N93t-1FFdU.html,layout 3D动画师招聘 - BOSS直聘,,2026-04-06,杭州,layout 3D动画师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-057,吉遇,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/7533dbd2234bb74203d_39m9FlpU.html,电商女装设计师招聘 - BOSS直聘,,2026-04-06,杭州,电商女装设计师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-058,壹添文化,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/1bc30aa5861048ba1HB-3ti0FlZZ.html,美工招聘 - BOSS直聘,,2026-04-06,杭州,美工,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-059,剑魂,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/5d46502001ede4481HNz29q5FlJX.html,游戏场景招聘 - BOSS直聘,,2026-04-06,杭州,游戏场景,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-060,信步文化创意,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/57d340fcae6297d91Hdz2N66GFFQ.html,展览展示设计师+双休+提成招聘 - BOSS直聘,,2026-04-06,杭州,展览展示设计师+双休+提成,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-061,北京七凌科技有限公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/882bdf947ef17ef203J90927FFRT.html,游戏角色模型（双休线上面包三餐异地房补）招聘 - BOSS直聘,,2026-04-06,杭州,游戏角色模型（双休线上面包三餐异地房补）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-062,司哲丽,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/8ec77c6448eb9bc71HB53ty5FFFW.html,软装设计师（底薪5-7提成最高5%）招聘 - BOSS直聘,,2026-04-06,杭州,软装设计师（底薪5-7提成最高5%）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-063,杭州弘途广告传媒,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/6ead0d0b9a6a11bd03x439y-EVdU.html,广告设计招聘 - BOSS直聘,,2026-04-06,杭州,广告设计,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-064,杭州爱秀云教育科技,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/930af498bd0de89f1nVy0tq6ElVU.html,少儿英语教师【全杭州可分配】招聘 - BOSS直聘,,2026-04-06,杭州,少儿英语教师【全杭州可分配】,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-065,思聪教育,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/da0e951e49a666b503V93NW0GVVW.html,初中英语老师招聘 - BOSS直聘,,2026-04-06,杭州,初中英语老师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-066,杭州非说不可文化艺术,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/ccc866d4ebe7923303Vy0ti4GVZY.html,英语教师招聘 - BOSS直聘,,2026-04-06,杭州,英语教师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-067,心弘教育,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/447b093bdc6668671Hd_0924FVE~.html,科学部主任招聘 - BOSS直聘,,2026-04-06,杭州,科学部主任,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-068,杭州舒克国际,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/5c250d4b6111226a03R82920GVVT.html,小学英语老师（双休、五险一金）招聘 - BOSS直聘,,2026-04-06,杭州,小学英语老师（双休、五险一金）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-069,小象体育,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/fae62a1c49e40bcf1H1-3Ni8GVJX.html,篮球教练招聘 - BOSS直聘,,2026-04-06,杭州,篮球教练,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-070,杭州越星体育文化,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/541b9fcee9a2b0691XB60tu0FFFW.html,篮球教练/课程顾问招聘 - BOSS直聘,,2026-04-06,杭州,篮球教练/课程顾问,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-071,杭州在兮文化传播,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/c042383f38ad69d81HV_2ty7FFNV.html,教务老师招聘 - BOSS直聘,,2026-04-06,杭州,教务老师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-072,高加童,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/39de788c4b5c13f11HZz3NW1FlRR.html,水育早教老师招聘 - BOSS直聘,,2026-04-06,杭州,水育早教老师,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-073,招商银行信用卡中心,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/98bce8411dac6e2e03B42dy8GFdS.html,银行大堂经理助理招聘 - BOSS直聘,,2026-04-06,杭州,银行大堂经理助理,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-076,杭州易和诚信息咨...,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/e7d5a2fc35ebe97f03Nz2t25FFtQ.html,双休信贷专员+不交手机！！！招聘 - BOSS直聘,,2026-04-06,杭州,双休信贷专员+不交手机！！！,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-077,杭州浙燚商务咨询,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/a513e4e6f6ffc46803F_3tW5E1ZS.html,无责底薪8千+40%提成招聘 - BOSS直聘,,2026-04-06,杭州,无责底薪8千+40%提成,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-078,杭州浙理融,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/fe0c61a8e6feadfa1HF92dq6GVZS.html,月综合2W以上，入职缴五险一金，福利下午茶招聘 - BOSS直聘,,2026-04-06,杭州,月综合2W以上，入职缴五险一金，福利下午茶,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-080,中信银行,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/dc9fccfd1be2216403Z83tu7FFVW.html,（央企）银行业务拓展经理招聘 - BOSS直聘,,2026-04-06,杭州,（央企）银行业务拓展经理,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
xhs-20260406-001,待补充,,xiaohongshu,小红书,https://www.xiaohongshu.com/discovery/item/69aa22ba000000002202e603?source=webshare&xhsshare=pc_web&xsec_token=ABgsjowRRGDDgq-nHDd7atQpikM3nabPRxTy3tC3f-LEQ=&xsec_source=pc_share,35岁以上找不到工作啊（小红书帖子）,,2026-04-06,,35岁以上找不到工作啊,那些明里暗里不招35岁以上的公司，能不能勇敢点发个通告，说也不需要35岁以上的客户和消费者 35岁真的是个坎，简历不看，不合适，找人一打听，不需要35岁以上的，猎头也说35以上真的恼火……. 我就想问，你们是活不到35吗？ 有年龄限制就勇敢点写出来啊,小红书帖子内容：那些明里暗里不招35岁以上的公司，能不能勇敢点发个通告，说也不需要35岁以上的客户和消费者 35岁真的是个坎，简历不看，不合适，找人一打听，不需要35岁以上的，猎头也说35以上真的恼火……. 我就想问，你们是活不到35吗？ 有年龄限制就勇敢点写出来啊,,xiaohongshu,pending,medium,false,xhs-post; source=html
xhs-20260406-002,待补充,,xiaohongshu,小红书,https://www.xiaohongshu.com/discovery/item/69aa22ba000000002202e603?source=webshare&xhsshare=pc_web&xsec_token=ABgsjowRRGDDgq-nHDd7atQpikM3nabPRxTy3tC3f-LEQ=&xsec_source=pc_share#comment-01,35岁以上找不到工作啊（小红书评论）,,2026-04-06,,35岁以上找不到工作啊,娃哈哈，康师傅都不要35以上的。白象要35以上的。支持白象,小红书评论内容：娃哈哈，康师傅都不要35以上的。白象要35以上的。支持白象,,xiaohongshu,pending,medium,false,xhs-comment; source=api; comment_id=69abbfb70000000003013712
xhs-20260406-003,待补充,,xiaohongshu,小红书,https://www.xiaohongshu.com/discovery/item/69aa22ba000000002202e603?source=webshare&xhsshare=pc_web&xsec_token=ABgsjowRRGDDgq-nHDd7atQpikM3nabPRxTy3tC3f-LEQ=&xsec_source=pc_share#comment-02,35岁以上找不到工作啊（小红书评论）,,2026-04-06,,35岁以上找不到工作啊,这样根本没用，我出个主意大家踊跃讨论:“人社局每年不定期暗访和检查，如果公司报备交社保的人员年龄没有达到35岁以上人员的用工比例，企业所得税翻倍，没商量”[暗中观察R][暗中观察R],小红书评论内容：这样根本没用，我出个主意大家踊跃讨论:“人社局每年不定期暗访和检查，如果公司报备交社保的人员年龄没有达到35岁以上人员的用工比例，企业所得税翻倍，没商量”[暗中观察R][暗中观察R],,xiaohongshu,pending,medium,false,xhs-comment; source=api; comment_id=69aa9f2b000000000601e251
xhs-20260406-004,待补充,,xiaohongshu,小红书,https://www.xiaohongshu.com/discovery/item/69aa22ba000000002202e603?source=webshare&xhsshare=pc_web&xsec_token=ABgsjowRRGDDgq-nHDd7atQpikM3nabPRxTy3tC3f-LEQ=&xsec_source=pc_share#comment-03,35岁以上找不到工作啊（小红书评论）,,2026-04-06,,35岁以上找不到工作啊,生产力过剩，消费力严重不足,小红书评论内容：生产力过剩，消费力严重不足,,xiaohongshu,pending,medium,false,xhs-comment; source=api; comment_id=69aa9b61000000000f02ec20
